# 示例数据集 - 销售数据
# 包含日期、产品类别、销售额等字段

date,category,region,sales,quantity,price,profit
2024-01-01,Electronics,North,1500.00,10,150.00,300.00
2024-01-01,Clothing,South,800.00,20,40.00,160.00
2024-01-02,Electronics,East,2200.00,11,200.00,440.00
2024-01-02,Home,West,650.00,5,130.00,130.00
2024-01-03,Clothing,North,1200.00,30,40.00,240.00
2024-01-03,Electronics,South,1800.00,9,200.00,360.00
2024-01-04,Home,East,900.00,6,150.00,180.00
2024-01-04,Clothing,West,1600.00,40,40.00,320.00
2024-01-05,Electronics,North,2500.00,10,250.00,500.00
2024-01-05,Home,South,750.00,5,150.00,150.00
2024-01-06,Clothing,East,1400.00,35,40.00,280.00
2024-01-06,Electronics,West,1900.00,19,100.00,380.00
2024-01-07,Home,North,850.00,5,170.00,170.00
2024-01-07,Clothing,South,900.00,22,40.91,180.00
2024-01-08,Electronics,East,2100.00,14,150.00,420.00
2024-01-08,Home,West,1100.00,10,110.00,220.00
2024-01-09,Clothing,North,1300.00,32,40.63,260.00
2024-01-09,Electronics,South,2400.00,12,200.00,480.00
2024-01-10,Home,East,600.00,4,150.00,120.00
2024-01-10,Electronics,West,1700.00,17,100.00,340.00
